NUMBER	TC	BIN	HEX

NUMBER	TC1	BIN	HEX
1	6980368	1100010000	6A8310
2	5517055	1011111111	542EFF
3	1336159	1101011111	14635F
4	6750185	1111101001	66FFE9
5	1771937	110100001	1B09A1
6	360952	111111000	581F8
7	5672561	1001110001	568E71
8	916583	1100111	DFC67
9	2700138	1101101010	29336A
10	9645053	1111111101	932BFD
11	1181110	110110110	1205B6
12	1492185	11011001	16C4D9
13	4018595	110100011	3D51A3
14	7654888	111101000	74CDE8
15	7062453	1110110101	6BC3B5
16	2478010	1110111010	25CFBA
17	6134768	1111110000	5D9BF0
18	8420417	1000001	807C41
19	2917489	1110001	2C8471
20	3340773	111100101	32F9E5
21	1115956	1100110100	110734
22	9172192	11100000	8BF4E0
23	6271996	1111111100	5FB3FC
24	8686939	101011011	848D5B
25	50986	1100101010	C72A
26	9376410	1010011010	8F129A
27	5962327	1001010111	5AFA57
28	7686891	1011101011	754AEB
29	6615183	10001111	64F08F
30	1864844	10001100	1C748C
31	3329962	1110101010	32CFAA
32	3942794	110001010	3C298A
33	2614836	1000110100	27E634
34	7406772	10110100	7104B4
35	2384190	100111110	24613E
36	398347	1011	6140B
37	8698503	1010000111	84BA87
38	9551696	1101010000	91BF50
39	1019556	1010100100	F8EA4
40	1677430	1110110	199876
41	3479629	1001101	35184D
42	9309008	1101010000	8E0B50
43	5266170	1011111010	505AFA
44	4094340	110000100	3E7984
45	1754055	1111000111	1AC3C7
46	5861132	1100001100	596F0C
47	4471329	1000100001	443A21
48	8826052	11000100	86ACC4
49	7469325	100001101	71F90D
50	1973172	1110110100	1E1BB4
51	53145	1110011001	CF99
52	3897508	10100100	3B78A4
53	7773386	11001010	769CCA
54	6089829	1100101	5CEC65
55	4223424	111000000	4071C0
56	9761752	1111011000	94F3D8
57	7930799	1110101111	7903AF
58	3597495	10110111	36E4B7
59	9302948	1110100100	8DF3A4
60	2288712	1001000	22EC48
61	197187	1001000011	30243
62	5266939	111111011	505DFB
63	221545	101101001	36169
64	7957027	1000100011	796A23
65	3195361	111100001	30C1E1
66	7106269	1011011101	6C6EDD
67	9633312	1000100000	92FE20
68	9713704	101000	943828
69	91925	1100010101	16715
70	4418686	1111110	436C7E
71	9682250	101001010	93BD4A
72	2583824	100010000	276D10
73	4979126	110110110	4BF9B6
74	6280954	1011111010	5FD6FA
75	1228610	1101000010	12BF42
76	705518	1111101110	AC3EE
77	1017653	1100110101	F8735
78	500098	110000010	7A182
79	7210727	1011100111	6E06E7
80	4250898	100010010	40DD12
81	4055028	1111110100	3DDFF4
82	2754240	1011000000	2A06C0
83	452999	110000111	6E987
84	6831458	101100010	683D62
85	207636	1100010100	32B14
86	7280635	1111111011	6F17FB
87	3308937	110001001	327D89
88	4303570	1011010010	41AAD2
89	8375055	1100001111	7FCB0F
90	1457960	1100101000	163F28
91	5197625	1100111001	4F4F39
92	3144371	1010110011	2FFAB3
93	6674138	1011011010	65D6DA
94	2692106	1010	29140A
95	2276769	110100001	22BDA1
96	1940971	111101011	1D9DEB
97	3288264	11001000	322CC8
98	4819803	1101011011	498B5B
99	9431005	1111011101	8FE7DD
100	3992019	111010011	3CE9D3
101	8184782	1111001110	7CE3CE
102	2847975	11100111	2B74E7
103	7891025	1010001	786851
104	900082	1111110010	DBBF2
105	1831532	1001101100	1BF26C
106	8428253	1011011101	809ADD
107	2905752	1010011000	2C5698
108	9763121	100110001	94F931
109	257890	1101100010	3EF62
110	4699761	1001110001	47B671
111	359541	1110101	57C75
112	3446150	110000110	349586
113	4246818	100100010	40CD22
114	1848840	1000001000	1C3608
115	938480	111110000	E51F0
116	227465	10001001	37889
117	3923488	1000100000	3BDE20
118	8915697	1011110001	880AF1
119	4309094	1100110	41C066
120	3891251	110011	3B6033
121	8627956	1011110100	83A6F4
122	5884613	1011000101	59CAC5
123	1659318	110110110	1951B6
124	1834855	1101100111	1BFF67
125	3386751	101111111	33AD7F
126	3000166	1101100110	2DC766
127	9135626	1000001010	8B660A
128	4869260	10001100	4A4C8C
129	76550	1100000110	12B06
130	432271	10001111	6988F
131	251028	10010100	3D494
132	7016218	1100011010	6B0F1A
133	6896099	111100011	6939E3
134	8386350	1100101110	7FF72E
135	8637147	1011011011	83CADB
136	936705	1100000001	E4B01
137	6602175	110111111	64BDBF
138	1429181	1010111101	15CEBD
139	8395138	110000010	801982
140	6132809	1001001	5D9449
141	5936917	1100010101	5A9715
142	2878578	1110010	2BEC72
143	158885	10100101	26CA5
144	2441957	1011100101	2542E5
145	5914794	10101010	5A40AA
146	3999272	1000101000	3D0628
147	3142897	11110001	2FF4F1
148	8151159	1110111	7C6077
149	5147564	1110101100	4E8BAC
150	4595374	1010101110	461EAE
151	4234951	1011000111	409EC7
152	7880605	1110011101	783F9D
153	7009921	1010000001	6AF681
154	695580	100011100	A9D1C
155	7370443	1011001011	7076CB
156	7921729	1000001	78E041
157	8419625	100101001	807929
158	7024080	111010000	6B2DD0
159	3905988	111000100	3B99C4
160	1767599	10101111	1AF8AF
161	935136	11100000	E44E0
162	635788	1110001100	9B38C
163	8807719	100100111	866527
164	317375	1110111111	4D7BF
165	9975410	1001110010	983672
166	2727968	100000	29A020
167	7444399	1110101111	7197AF
168	4065675	110001011	3E098B
169	9925720	1011000	977458
170	2293633	1110000001	22FF81
171	7734826	1000101010	76062A
172	1065463	111110111	1041F7
173	1105617	1011010001	10DED1
174	5325800	1111101000	5143E8
175	3822527	1110111111	3A53BF
176	5503858	1101110010	53FB72
177	9214055	1100111	8C9867
178	6521769	1110101001	6383A9
179	7923796	1010100	78E854
180	5250236	10111100	501CBC
181	1083154	1100010010	108712
182	472141	1001101	7344D
183	9597454	1000001110	92720E
184	1581679	1001101111	18226F
185	656751	101101111	A056F
186	345464	101111000	54578
187	4281218	1110000010	415382
188	6558883	10100011	6414A3
189	3852986	1010111010	3ACABA
190	6263187	110010011	5F9193
191	5828308	1011010100	58EED4
192	8058535	1010100111	7AF6A7
193	9035191	110110111	89DDB7
194	7922103	110110111	78E1B7
195	9366003	111110011	8EE9F3
196	4555717	1111000101	4583C5
197	3526753	1100001	35D061
198	3176815	101101111	30796F
199	858440	101001000	D1948
200	2250854	1100110	225866

NUMBER	TC2	BIN	HEX
1	7116776	1111101000	6C97E8
2	1666340	100100100	196D24
3	8886983	1011000111	879AC7
4	839365	1011000101	CCEC5
5	924280	1001111000	E1A78
6	1026310	100000110	FA906
7	1615293	110111101	18A5BD
8	1063875	1111000011	103BC3
9	679035	1111011	A5C7B
10	5201970	110010	4F6032
11	593979	111011	9103B
12	801371	1001011011	C3A5B
13	3796878	1110001110	39EF8E
14	7489201	1010110001	7246B1
15	9740020	1011110100	949EF4
16	9128737	1100100001	8B4B21
17	5473463	10110111	5384B7
18	8701957	101	84C805
19	8238050	1111100010	7DB3E2
20	8679038	1001111110	846E7E
21	385912	1101111000	5E378
22	5867340	1101001100	59874C
23	4894542	1101001110	4AAF4E
24	8999451	1000011011	89521B
25	4392535	1001010111	430657
26	2078131	110110011	1FB5B3
27	3070124	10101100	2ED8AC
28	7451998	101011110	71B55E
29	5635510	110110110	55FDB6
30	1233932	1100	12D40C
31	6089867	10001011	5CEC8B
32	1792316	100111100	1B593C
33	6298637	1101	601C0D
34	2408038	1001100110	24BE66
35	8510100	1010010100	81DA94
36	991581	101011101	F215D
37	6455739	110111011	6281BB
38	7829175	1010110111	7776B7
39	6328931	1001100011	609263
40	9982305	101100001	985161
41	2292022	100110110	22F936
42	1070496	110100000	1055A0
43	8518360	1011011000	81FAD8
44	6378470	1111100110	6153E6
45	7756258	111100010	7659E2
46	7111767	1010111	6C8457
47	2685897	1111001001	28FBC9
48	617946	111011010	96DDA
49	246280	1000001000	3C208
50	6075442	110010	5CB432
51	991323	1011011	F205B
52	6754202	1110011010	670F9A
53	3103178	111001010	2F59CA
54	3228842	10101010	3144AA
55	6786623	1000111111	678E3F
56	5329085	10111101	5150BD
57	2334647	1110110111	239FB7
58	7253396	110010100	6EAD94
59	6516953	11011001	6370D9
60	5972725	1011110101	5B22F5
61	5828037	111000101	58EDC5
62	6642265	1001011001	655A59
63	2559699	1011010011	270ED3
64	6597631	1111111111	64ABFF
65	5826202	1010011010	58E69A
66	4642335	1000011111	46D61F
67	1862900	11110100	1C6CF4
68	6039635	1010011	5C2853
69	3358744	11000	334018
70	4965249	1110000001	4BC381
71	6621475	100100011	650923
72	3336153	1111011001	32E7D9
73	1044743	100000111	FF107
74	6201477	10000101	5EA085
75	6297100	1000001100	60160C
76	885678	1110101110	D83AE
77	8546891	1001001011	826A4B
78	6683923	100010011	65FD13
79	7064472	1110011000	6BCB98
80	3430021	1010000101	345685
81	9764122	100011010	94FD1A
82	9958605	11001101	97F4CD
83	1006022	111000110	F59C6
84	5276496	1101010000	508350
85	8876232	11001000	8770C8
86	3364648	1100101000	335728
87	3539979	1011	36040B
88	3003857	111010001	2DD5D1
89	4481634	1001100010	446262
90	9035781	101	89E005
91	3767021	1011101101	397AED
92	4993901	1101101101	4C336D
93	8698377	1000001001	84BA09
94	4626501	1000101	469845
95	1755352	11011000	1AC8D8
96	2755340	1100001100	2A0B0C
97	5150616	1110011000	4E9798
98	9345169	10010001	8E9891
99	848948	110100	CF434
100	2708748	100001100	29550C
101	8372451	11100011	7FC0E3
102	3523015	111000111	35C1C7
103	2624283	1100011011	280B1B
104	8795348	11010100	8634D4
105	2318100	1100010100	235F14
106	4750861	1000001101	487E0D
107	3770597	11100101	3988E5
108	1053352	1010101000	1012A8
109	833307	1100011011	CB71B
110	4632526	1111001110	46AFCE
111	2212917	110101	21C435
112	5053189	1100000101	4D1B05
113	412218	1000111010	64A3A
114	4901564	1010111100	4ACABC
115	5094606	11001110	4DBCCE
116	8070285	10001101	7B248D
117	6847905	110100001	687DA1
118	4311824	1100010000	41CB10
119	3009421	1110001101	2DEB8D
120	1629105	1110110001	18DBB1
121	8431899	100011011	80A91B
122	7582456	1011111000	73B2F8
123	7332147	100110011	6FE133
124	314183	1101000111	4CB47
125	7632568	1010111000	7476B8
126	8161327	101111	7C882F
127	6961087	1110111111	6A37BF
128	6898282	1001101010	69426A
129	9749303	1100110111	94C337
130	4427419	1010011011	438E9B
131	4368829	110111101	42A9BD
132	6439318	110010110	624196
133	6473603	1110000011	62C783
134	6446249	10101001	625CA9
135	9818836	1011010100	95D2D4
136	9438069	1101110101	900375
137	2809499	1010011011	2ADE9B
138	3460304	11010000	34CCD0
139	8430904	100111000	80A538
140	9774785	1011000001	9526C1
141	9560603	1000011011	91E21B
142	3440732	1011100	34805C
143	7053263	1111001111	6B9FCF
144	287398	1010100110	462A6
145	4043644	1101111100	3DB37C
146	2943820	1101001100	2CEB4C
147	9030962	100110010	89CD32
148	7537540	1110000100	730384
149	7203657	1101001001	6DEB49
150	5639400	11101000	560CE8
151	9448142	1011001110	902ACE
152	9954392	1011000	97E458
153	2856859	1110011011	2B979B
154	1332118	1110010110	145396
155	6984725	10101	6A9415
156	1925762	1010000010	1D6282
157	2138171	111011	20A03B
158	347447	100110111	54D37
159	8839390	11011110	86E0DE
160	3951652	100100	3C4C24
161	3755102	1011110	394C5E
162	6867687	1011100111	68CAE7
163	4383175	111000111	42E1C7
164	7125508	1000000100	6CBA04
165	7799732	1110110100	7703B4
166	8784156	100011100	86091C
167	1372809	1010001001	14F289
168	1327984	1101110000	144370
169	9205087	101011111	8C755F
170	6524241	101010001	638D51
171	9316072	1011101000	8E26E8
172	127744	1100000000	1F300
173	8388820	11010100	8000D4
174	6883557	11100101	6908E5
175	2291239	1000100111	22F627
176	3101270	1001010110	2F5256
177	1382825	110101001	1519A9
178	9873376	1111100000	96A7E0
179	6873500	110011100	68E19C
180	8185634	1100100010	7CE722
181	2464786	10010	259C12
182	8387154	1001010010	7FFA52
183	5581444	1010000100	552A84
184	8097911	1110111	7B9077
185	8882527	101011111	87895F
186	8941444	1110000100	886F84
187	4942703	1101101111	4B6B6F
188	101144	1100011000	18B18
189	7471180	1001100	72004C
190	1932131	1101100011	1D7B63
191	8052752	10000	7AE010
192	6359493	111000101	6109C5
193	1967646	1000011110	1E061E
194	6575052	1111001100	6453CC
195	2323342	1110001110	23738E
196	6735760	1110010000	66C790
197	8895858	101110010	87BD72
198	4238091	1100001011	40AB0B
